Active Drones,Total Damage,Energy Consumed
5,343,15.999999999999979
5,534,14.879999999999988
5,299,16.519999999999982
5,272,16.159999999999975
5,318,15.719999999999985
5,497,15.599999999999987
5,455,15.839999999999982
5,378,15.479999999999976
5,470,14.95999999999999
5,332,14.759999999999977
0,1035,5.200000000000003
0,991,7.640000000000005
2,879,7.760000000000005
0,1240,4.360000000000002
0,734,7.520000000000005
0,1149,4.320000000000002
0,1037,4.480000000000002
3,489,13.480000000000011
0,595,7.600000000000005
0,1122,4.400000000000002
3,889,9.280000000000006
0,1316,5.200000000000003
0,1266,3.8800000000000017
0,1026,5.080000000000003
0,863,7.0400000000000045
3,306,11.72000000000001
1,561,10.000000000000007
0,1357,3.4000000000000012
3,478,12.000000000000004
0,1061,5.760000000000003
