epoch,train_mse,val_mse
1,2128.3173828125,1528.466552734375
2,1986.6619873046875,1342.6461181640625
3,1623.1409912109375,762.1427001953125
4,697.3502197265625,780.9524536132812
5,1304.5545654296875,567.2573852539062
6,475.7945556640625,314.5067138671875
7,573.8846435546875,374.70849609375
8,537.4615478515625,210.6652374267578
9,348.2933044433594,221.58694458007812
10,322.42236328125,165.43045043945312
11,301.0228271484375,146.50230407714844
12,295.940185546875,129.52786254882812
13,256.1437072753906,138.7842559814453
14,248.9674072265625,125.90825653076172
15,248.97848510742188,115.99894714355469
16,239.7484588623047,127.04707336425781
17,237.26580810546875,130.91799926757812
18,230.9984893798828,119.53227996826172
19,234.14479064941406,122.41941833496094
20,227.5389404296875,145.99215698242188
21,234.62838745117188,124.14921569824219
22,224.59397888183594,124.0800552368164
23,221.9230499267578,127.83568572998047
24,217.09356689453125,139.9274139404297
25,222.54718017578125,129.0162353515625
26,217.9264678955078,129.07440185546875
27,217.2367401123047,126.2030258178711
28,218.00184631347656,139.84449768066406
29,214.64883422851562,137.3507843017578
30,211.37661743164062,126.09896850585938
31,219.33274841308594,160.12672424316406
32,208.0823211669922,125.44718170166016
33,202.0194549560547,148.33534240722656
34,206.78028869628906,141.27967834472656
35,194.28695678710938,125.07582092285156
36,199.4736328125,167.64675903320312
37,196.30023193359375,127.9217758178711
38,201.2672119140625,140.6168975830078
39,181.32579040527344,124.19640350341797
40,177.02328491210938,133.59304809570312
41,181.3083953857422,137.6933135986328
42,175.14785766601562,128.2589111328125
43,164.7660675048828,128.83758544921875
44,188.37728881835938,142.45314025878906
45,158.0872802734375,113.47859191894531
46,165.90296936035156,154.54696655273438
47,166.2287139892578,118.48240661621094
48,154.2008819580078,141.61961364746094
49,149.79090881347656,117.04431915283203
50,145.6363525390625,128.1375274658203
