queue_energy_required_sum,charger_charging_capacity,queue_length,charging_drones,target
0.0,0.1,0.0,0.0,1
0.4757875024148308,0.1,0.0,1.0,23
1.0371371370574263,0.1,1.0,1.0,26
1.1222489106560563,0.1,1.0,1.0,25
1.5769557482726482,0.1,2.0,1.0,39
0.0,0.1,0.0,0.0,1
0.4600000000000004,0.1,0.0,1.0,23
0.6400000000000006,0.1,1.0,0.0,11
0.0,0.1,0.0,0.0,1
0.5000000000000004,0.1,0.0,1.0,19
0.0,0.1,0.0,0.0,1
0.4700000000000004,0.1,0.0,1.0,22
1.100000000000001,0.1,1.0,1.0,25
1.110000000000001,0.1,1.0,1.0,24
0.0,0.1,0.0,0.0,1
0.5600000000000005,0.1,0.0,1.0,13
0.0,0.1,0.0,0.0,1
0.5150000000000005,0.1,0.0,1.0,18
0.900000000000001,0.1,1.0,1.0,18
1.150000000000001,0.1,1.0,1.0,20
0.0,0.1,0.0,0.0,1
0.49000000000000044,0.1,0.0,1.0,20
0.0,0.1,0.0,0.0,1
0.40500000000000036,0.1,0.0,1.0,29
0.8450000000000008,0.1,1.0,1.0,42
1.1050000000000015,0.1,1.0,1.0,20
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5900000000000005,0.1,0.0,1.0,10
0.0,0.1,0.0,0.0,1
0.5700000000000005,0.1,0.0,1.0,12
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5207875024148308,0.1,0.0,1.0,18
0.5363496346425954,0.1,1.0,0.0,13
1.007248910656056,0.1,1.0,1.0,24
1.4302566421737346,0.1,2.0,1.0,35
0.0,0.1,0.0,0.0,1
0.41500000000000037,0.1,0.0,1.0,28
0.9150000000000008,0.1,1.0,1.0,38
1.365000000000001,0.1,1.0,1.0,24
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5100000000000005,0.1,0.0,1.0,18
1.080000000000001,0.1,1.0,1.0,23
1.130000000000001,0.1,1.0,1.0,19
0.0,0.1,0.0,0.0,1
0.5200000000000005,0.1,0.0,1.0,17
0.0,0.1,0.0,0.0,1
0.4500000000000004,0.1,0.0,1.0,24
0.8550000000000008,0.1,1.0,1.0,35
1.2750000000000012,0.1,1.0,1.0,26
0.0,0.1,0.0,0.0,1
0.40000000000000036,0.1,0.0,1.0,29
0.9050000000000008,0.1,1.0,1.0,43
1.8700000000000017,0.1,2.0,1.0,42
2.200000000000002,0.1,3.0,1.0,57
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.4013496346425953,0.1,0.0,1.0,29
1.0071371370574262,0.1,1.0,1.0,38
1.428036413070887,0.1,2.0,1.0,52
1.892714569134271,0.1,1.0,1.0,12
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.6000000000000005,0.1,0.0,1.0,9
0.9750000000000009,0.1,1.0,1.0,29
0.0,0.1,0.0,0.0,1
0.5550000000000005,0.1,0.0,1.0,14
0.9950000000000009,0.1,1.0,1.0,26
1.4200000000000013,0.1,2.0,1.0,37
0.0,0.1,0.0,0.0,1
0.5000000000000004,0.1,0.0,1.0,19
1.080000000000001,0.1,1.0,1.0,21
1.3400000000000012,0.1,2.0,1.0,31
0.0,0.1,0.0,0.0,1
0.40000000000000036,0.1,0.0,1.0,29
0.7650000000000007,0.1,1.0,0.0,17
1.200000000000001,0.1,1.0,1.0,27
0.7300000000000006,0.1,0.0,1.0,12
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5207875024148308,0.1,0.0,1.0,18
0.9216867784282914,0.1,1.0,1.0,30
1.3830364130708868,0.1,2.0,1.0,43
1.6960441445885657,0.1,3.0,1.0,45
0.0,0.1,0.0,0.0,1
0.40000000000000036,0.1,0.0,1.0,29
0.9500000000000008,0.1,1.0,1.0,36
1.5150000000000015,0.1,2.0,1.0,46
1.9600000000000026,0.1,3.0,1.0,44
0.0,0.1,0.0,0.0,1
0.39500000000000035,0.1,0.0,1.0,30
0.8400000000000007,0.1,1.0,1.0,42
1.4350000000000018,0.1,2.0,1.0,31
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.39500000000000035,0.1,0.0,1.0,30
0.9650000000000009,0.1,1.0,1.0,37
1.325000000000001,0.1,1.0,1.0,27
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5150000000000005,0.1,0.0,1.0,18
0.9150000000000008,0.1,1.0,1.0,30
1.3900000000000012,0.1,2.0,1.0,38
0.8000000000000007,0.1,0.0,1.0,14
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5900000000000005,0.1,0.0,1.0,10
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.5807875024148309,0.1,0.0,1.0,11
0.9666867784282914,0.1,1.0,1.0,28
1.448036413070887,0.1,2.0,1.0,41
1.4202566421737346,0.1,3.0,0.0,46
0.9097068376165922,0.1,0.0,1.0,13
0.4750000000000004,0.1,0.0,1.0,16
0.0,0.1,0.0,0.0,1
0.6000000000000005,0.1,0.0,1.0,9
0.0,0.1,0.0,0.0,1
0.5200000000000005,0.1,0.0,1.0,17
0.9000000000000008,0.1,1.0,1.0,31
0.0,0.1,0.0,0.0,1
0.5200000000000005,0.1,0.0,1.0,17
1.115000000000001,0.1,1.0,1.0,23
1.4800000000000013,0.1,2.0,1.0,34
1.5600000000000018,0.1,3.0,1.0,42
0.0,0.1,0.0,0.0,1
0.6050000000000005,0.1,0.0,1.0,9
0.9900000000000009,0.1,1.0,1.0,28
1.3200000000000012,0.1,2.0,1.0,41
1.5050000000000012,0.1,1.0,1.0,26
0.0,0.1,0.0,0.0,1
0.4650000000000004,0.1,0.0,1.0,23
1.115000000000001,0.1,1.0,1.0,28
1.6100000000000017,0.1,2.0,1.0,36
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
0.0,0.1,0.0,0.0,1
